% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=650964, Sun Nov 30 23:31:35 2025, <python>{}</python>
1 10 0.27274769819526506 0 0 0.26854275739808625 0.27454886666180456 0.27094874226458304 0.2642043273362817 0.2694707560777719 0.26746825129316093 0.27708066204317505 0.2642395463880969 0.27140500611272494
2 20 0.26898095325062915 0 0 0.2658401899375918 0.26724320011170877 0.2649836798014534 0.27488453331551105 0.26648481149357595 0.2606896185985157 0.2695614258704678 0.2513625427942096 0.2649582028543906
3 30 0.2967179094271469 0 0 0.29605898423927707 0.2921895651745181 0.29003950852821997 0.31906693462916774 0.31288084002152 0.2841371376842162 0.29703023741473744 0.2767766187124144 0.28507830740235723
4 40 0.3217778068764829 0 0 0.31927587894548826 0.32096362685122265 0.3127945476142829 0.3519182083303638 0.3448619767933777 0.30384439770315363 0.321950513652934 0.30283441796153815 0.3054843010030716
5 50 0.3355507782205251 0 0 0.32580134356370494 0.3359232844987621 0.3175587465594415 0.36833003238765183 0.3580464009107131 0.31253601046280166 0.3408798937197747 0.31603618708673065 0.3205128736783199
6 60 0.33714210273246087 0 0 0.3235772759904803 0.33523074039286227 0.3196983433486321 0.34964070135380904 0.3697510010012974 0.31154212674720494 0.3413044578581753 0.3219457089351475 0.3196145951018162
7 70 0.3371460298847231 0 0 0.31959594713913225 0.3526340970669197 0.3162549700065609 0.3357217192610417 0.35377497723060575 0.30517949126737665 0.339438709454175 0.32193313547270813 0.31886859800454304
8 80 0.35076479833978724 0 0 0.33392084211457035 0.3636648683196734 0.33667844292184074 0.34856030958983497 0.38691400786621 0.30980695644415845 0.35647832263509444 0.3248261282460732 0.3275219210712462
9 90 0.33283254483383645 0 0 0.30841521626481283 0.3351740553576885 0.32289179743354013 0.32961490103862495 0.35737860245781305 0.2974187819582898 0.3301492572420195 0.3114294055987207 0.3070590595445553
10 100 0.33275623475794264 0 0 0.3015667578420738 0.35537590507421596 0.31407672648933443 0.3200655899442498 0.3498289045190091 0.2981626573767577 0.3327935046087202 0.3097063157200204 0.30986111726241006
11 110 0.32161238207789405 0 0 0.28558452630421965 0.34479558354458223 0.30207259247712726 0.30320287399737933 0.33744598417703897 0.28453997769875183 0.31365042921164743 0.29608388097920146 0.2934101184880492
12 120 0.32344962316247566 0 0 0.2853930964248347 0.3759425624963189 0.30313717477965674 0.3113694167899272 0.3363804049581124 0.28928087022296306 0.29262470189650064 0.2865184620495919 0.2944754281658293
13 130 0.3054390840108156 0 0 0.2612396617040207 0.3585779673569089 0.2782096739162964 0.2875978419594486 0.31997749021831284 0.2666961305773784 0.27105769966333115 0.26735430770757734 0.2798935500919406
14 140 0.2929365485397845 0 0 0.25430305164697564 0.3314387013691499 0.27077929741853995 0.2795348395843437 0.29614567940489483 0.2499687778287933 0.2600908775265504 0.25310829817616454 0.26179295093610905
15 150 0.3023965436628372 0 0 0.26278851270720527 0.34586149003189615 0.2781565621099314 0.2823544041003011 0.29981742272434325 0.25721003684505056 0.2638182527531973 0.27672044976316207 0.26876942693031775
16 160 0.316122102323137 0 0 0.2776474923616084 0.356146582571578 0.2895718723178825 0.2986971030073079 0.32169993891299586 0.2744720232624738 0.27007147299967704 0.2998525491852045 0.2770094357301396
17 170 0.3116381968886769 0 0 0.27283570717512334 0.34277950448512307 0.2861159852566825 0.28910222477815434 0.3207155525457814 0.2730616032372948 0.26597674720338066 0.295142157342076 0.26836809743090984
18 180 0.2962053207812399 0 0 0.25387766281532076 0.31362052645563515 0.27503757595217704 0.27504126062887 0.2984847059424847 0.25524926009796417 0.2490489490896016 0.2959477807224133 0.25429999926028807
19 190 0.2716298309811686 0 0 0.22976039489431735 0.2888541186113194 0.25347287237265875 0.24849832811899558 0.25862381051878747 0.24008270663383277 0.2194034978879969 0.2720451571358438 0.23401895964434674
20 200 0.26081185767284704 0 0 0.2152968973047829 0.27355414530507954 0.2495517264360939 0.23477391965677843 0.24285518946094223 0.23765419235676707 0.20884988774801042 0.2589383272972464 0.21685673861982463
21 210 0.2498916938652828 0 0 0.20532536133308427 0.25615834062045467 0.23277001867825936 0.22625248626816577 0.23035622393923025 0.22808061324040976 0.20084106663289109 0.24554483816513506 0.2001741011478973
22 220 0.2442993556094487 0 0 0.19436988266904656 0.25428299850544545 0.23174530084110875 0.21722532347792586 0.22737682668040285 0.2237873253065141 0.19120071745497516 0.23574045642391023 0.1939958393849702
23 230 0.2385155941035448 0 0 0.19167183070373262 0.24705848866754512 0.22750826361949253 0.2080786403079231 0.22818485830088248 0.21257776216380175 0.18640388728535448 0.23202630687118372 0.18491038652300254
24 240 0.23264832207745365 0 0 0.18200934186158277 0.23768621953709723 0.22214776780574336 0.19916788689858483 0.22511820119753384 0.20873919379126352 0.18194974341400338 0.22542003644994407 0.17967834322960693
25 250 0.21974406459266446 0 0 0.16586315542733202 0.2242487303083338 0.2112620830251098 0.18837604368312275 0.21623868228678422 0.19018464369588767 0.17010807972550085 0.21310836130817906 0.1678406273428784
26 260 0.18912142267685447 0 0 0.14047950743072238 0.1925319263342442 0.17944056605316824 0.16064337351645103 0.1843767149715171 0.16464162633689822 0.14309751442989882 0.1761506324590544 0.14290024149465083
27 270 0.17299207431317015 0 0 0.12698791810865293 0.17521626020431053 0.16134367946952322 0.14871949460661738 0.1663393550081151 0.14624035440633304 0.13155616386717905 0.16097208366455013 0.12628038003874104
28 280 0.16357283750498428 0 0 0.11496201378553689 0.16279464949134248 0.15590240391699706 0.14134878667241665 0.15902315919931861 0.13656733066531893 0.12536980070873988 0.15012328994206897 0.1168741331170101
29 290 0.16048017612537593 0 0 0.11532779970385455 0.16096229903712753 0.1489913462309316 0.13806599232809857 0.15519772378903773 0.13109033573478954 0.12317840539730775 0.1527744897909643 0.11185738232190935
