--- Optimization Completed ---
Final Cost: 0.0785373787964323
Final Parameters: [4.26290326 0.11053458 0.81856754 4.62285113 1.65754124 1.07928091
 5.76114017 3.99150406 6.22186   ]

Best parameters (callback): [4.26225984 0.11406705 0.81370595 4.63003382 1.64842973 1.08607405
 5.77085817 3.9963624  6.21937467]
Best cost (callback): 0.054237384045698556

0.479584 (Num:0.079660 / Denom:0.153069)
0.665539 (Num:0.044172 / Denom:0.132069)
0.436402 (Num:0.077894 / Denom:0.138208)
0.676288 (Num:0.044916 / Denom:0.138753)
0.376284 (Num:0.109303 / Denom:0.175245)
0.389593 (Num:0.108324 / Denom:0.177462)
0.403632 (Num:0.209843 / Denom:0.351868)
0.737607 (Num:0.021713 / Denom:0.082751)
0.396526 (Num:0.204510 / Denom:0.338889)
0.290541 (Num:0.179997 / Denom:0.253710)
0.539359 (Num:0.173984 / Denom:0.377699)
0.334397 (Num:0.192909 / Denom:0.289826)
0.321656 (Num:0.267984 / Denom:0.395056)
0.500676 (Num:0.106810 / Denom:0.213909)
0.314600 (Num:0.227861 / Denom:0.332450)
0.386533 (Num:0.243667 / Denom:0.397197)
0.262462 (Num:0.160846 / Denom:0.218085)
0.303893 (Num:0.213837 / Denom:0.307190)
0.249577 (Num:0.225606 / Denom:0.300638)
0.469194 (Num:0.180850 / Denom:0.340708)
0.254308 (Num:0.222179 / Denom:0.297950)
0.193258 (Num:0.149728 / Denom:0.185596)
0.305648 (Num:0.259192 / Denom:0.373286)
0.243865 (Num:0.208324 / Denom:0.275512)
0.232582 (Num:0.201730 / Denom:0.262869)
0.334435 (Num:0.198779 / Denom:0.298662)
0.240511 (Num:0.207431 / Denom:0.273119)
0.342244 (Num:0.182773 / Denom:0.277874)
0.197570 (Num:0.212546 / Denom:0.264878)
0.217522 (Num:0.210237 / Denom:0.268682)
0.204935 (Num:0.227139 / Denom:0.285686)
0.290767 (Num:0.182701 / Denom:0.257603)
0.214841 (Num:0.215009 / Denom:0.273842)
0.277930 (Num:0.246320 / Denom:0.341130)
0.254804 (Num:0.164319 / Denom:0.220504)
0.218227 (Num:0.211086 / Denom:0.270009)
0.306896 (Num:0.262209 / Denom:0.378311)
0.199540 (Num:0.135443 / Denom:0.169206)
0.200430 (Num:0.201727 / Denom:0.252294)
0.238840 (Num:0.101883 / Denom:0.133852)
0.289986 (Num:0.279906 / Denom:0.394226)
0.194550 (Num:0.194431 / Denom:0.241394)
0.338827 (Num:0.218190 / Denom:0.330004)
0.182417 (Num:0.167283 / Denom:0.204606)
0.191378 (Num:0.187629 / Denom:0.232036)
0.238792 (Num:0.183086 / Denom:0.240520)
0.208581 (Num:0.197180 / Denom:0.249148)
0.173740 (Num:0.187474 / Denom:0.226895)
0.377687 (Num:0.270111 / Denom:0.434044)
0.288375 (Num:0.089140 / Denom:0.125262)
0.172568 (Num:0.175212 / Denom:0.211754)
0.193079 (Num:0.208739 / Denom:0.258686)
0.278723 (Num:0.131122 / Denom:0.181792)
0.165008 (Num:0.179981 / Denom:0.215548)
0.278637 (Num:0.252133 / Denom:0.349523)
0.173921 (Num:0.101861 / Denom:0.123306)
0.157345 (Num:0.169033 / Denom:0.200596)
0.230114 (Num:0.125091 / Denom:0.162479)
0.244089 (Num:0.199048 / Denom:0.263322)
0.159491 (Num:0.165758 / Denom:0.197212)
0.255293 (Num:0.175108 / Denom:0.235137)
0.220100 (Num:0.154079 / Denom:0.197562)
0.147490 (Num:0.167935 / Denom:0.196989)
0.155367 (Num:0.065676 / Denom:0.077757)
0.251291 (Num:0.270311 / Denom:0.361036)
0.146614 (Num:0.151761 / Denom:0.177834)
0.240755 (Num:0.069020 / Denom:0.090906)
0.194824 (Num:0.236116 / Denom:0.293248)
0.134335 (Num:0.159717 / Denom:0.184502)
0.226350 (Num:0.106126 / Denom:0.137176)
0.153064 (Num:0.212868 / Denom:0.251339)
0.143617 (Num:0.163510 / Denom:0.190931)
0.243267 (Num:0.241107 / Denom:0.318616)
0.296893 (Num:0.078036 / Denom:0.110987)
0.124076 (Num:0.171261 / Denom:0.195520)
0.217706 (Num:0.197295 / Denom:0.252201)
0.142578 (Num:0.138782 / Denom:0.161860)
0.135753 (Num:0.165344 / Denom:0.191315)
0.162654 (Num:0.159431 / Denom:0.190401)
0.159095 (Num:0.160735 / Denom:0.191145)
0.148228 (Num:0.165420 / Denom:0.194207)
0.200364 (Num:0.151157 / Denom:0.189033)
0.229048 (Num:0.164429 / Denom:0.213280)
0.139895 (Num:0.166624 / Denom:0.193725)
0.148564 (Num:0.166538 / Denom:0.195597)
0.217570 (Num:0.151178 / Denom:0.193216)
0.131420 (Num:0.166958 / Denom:0.192220)
0.206895 (Num:0.153720 / Denom:0.193821)
0.241683 (Num:0.167658 / Denom:0.221092)
0.118471 (Num:0.166981 / Denom:0.189422)
0.252588 (Num:0.165272 / Denom:0.221126)
0.204080 (Num:0.171068 / Denom:0.214931)
0.135022 (Num:0.167794 / Denom:0.193986)
0.161633 (Num:0.167040 / Denom:0.199245)
0.211687 (Num:0.150915 / Denom:0.191440)
0.120896 (Num:0.168557 / Denom:0.191738)
0.225180 (Num:0.197675 / Denom:0.255124)
0.097345 (Num:0.132928 / Denom:0.147263)
0.128842 (Num:0.162451 / Denom:0.186477)
0.212645 (Num:0.181553 / Denom:0.230586)
0.188749 (Num:0.130449 / Denom:0.160799)
0.107474 (Num:0.162119 / Denom:0.181641)
0.226198 (Num:0.134153 / Denom:0.173368)
0.154325 (Num:0.177488 / Denom:0.209877)
0.127830 (Num:0.163207 / Denom:0.187127)
0.279601 (Num:0.285461 / Denom:0.396254)
0.296339 (Num:0.069061 / Denom:0.098145)
0.127139 (Num:0.165812 / Denom:0.189964)
0.203719 (Num:0.192288 / Denom:0.241482)
0.236702 (Num:0.124927 / Denom:0.163667)
0.111656 (Num:0.169184 / Denom:0.190449)
0.183822 (Num:0.082313 / Denom:0.100852)
0.217941 (Num:0.244171 / Denom:0.312215)
0.114044 (Num:0.164451 / Denom:0.185620)
0.089756 (Num:0.104097 / Denom:0.114362)
0.175336 (Num:0.215706 / Denom:0.261568)
0.122059 (Num:0.158357 / Denom:0.180374)
0.190223 (Num:0.213174 / Denom:0.263250)
0.109787 (Num:0.118704 / Denom:0.133343)
0.118644 (Num:0.155432 / Denom:0.176356)
0.157228 (Num:0.134704 / Denom:0.159834)
0.151831 (Num:0.186990 / Denom:0.220463)
0.127723 (Num:0.153331 / Denom:0.175782)
0.198373 (Num:0.111898 / Denom:0.139588)
0.166392 (Num:0.189118 / Denom:0.226866)
0.116634 (Num:0.155666 / Denom:0.176219)
0.198578 (Num:0.132024 / Denom:0.164738)
0.192706 (Num:0.160429 / Denom:0.198724)
0.112507 (Num:0.156178 / Denom:0.175977)
0.180895 (Num:0.114781 / Denom:0.140130)
0.175065 (Num:0.188760 / Denom:0.228818)
0.120353 (Num:0.156712 / Denom:0.178154)
0.130649 (Num:0.116339 / Denom:0.133823)
0.155119 (Num:0.188550 / Denom:0.223168)
0.109922 (Num:0.155969 / Denom:0.175230)
0.134493 (Num:0.116708 / Denom:0.134843)
0.183065 (Num:0.191150 / Denom:0.233985)
0.090207 (Num:0.154078 / Denom:0.169355)
0.108094 (Num:0.132995 / Denom:0.149114)
0.176367 (Num:0.155951 / Denom:0.189345)
0.131176 (Num:0.151260 / Denom:0.174098)
0.175498 (Num:0.102962 / Denom:0.124878)
0.160723 (Num:0.190398 / Denom:0.226859)
0.118154 (Num:0.152552 / Denom:0.172991)
0.133998 (Num:0.107702 / Denom:0.124367)
0.143938 (Num:0.209031 / Denom:0.244178)
0.127844 (Num:0.151470 / Denom:0.173673)
0.117005 (Num:0.109021 / Denom:0.123467)
0.166010 (Num:0.201562 / Denom:0.241684)
0.099807 (Num:0.150337 / Denom:0.167006)
0.233367 (Num:0.118175 / Denom:0.154149)
0.280510 (Num:0.164026 / Denom:0.227975)
0.113851 (Num:0.149342 / Denom:0.168530)
0.170534 (Num:0.155033 / Denom:0.186906)
0.168905 (Num:0.128252 / Denom:0.154317)
0.114700 (Num:0.150128 / Denom:0.169578)
