Shots: 50000
a, c= SPSA.calibrate(
        loss=lambda x: calculate_cost_function_sampling(x,shots,coefficient_set_2,gate_set_2,cost_history_SPSA),
        initial_point=x0,
        c=0.2,                 # Force start c = 0.2
        target_magnitude=0.35, # Force start step size ≈ 0.35
        stability_constant=0
    )
{   'fun': 0.06322566499892035,
    'jac': None,
    'nfev': 541,
    'nit': 180,
    'njev': None,
    'x': array([3.27687301, 5.51461997, 4.39133129, 3.08644882, 3.22021084,
       0.11813821, 1.79506773, 3.12461093, 2.27023903])}
Best x Found (Tracked by Callback): [3.27687301 5.51461997 4.39133129 3.08644882 3.22021084 0.11813821
 1.79506773 3.12461093 2.27023903]
Best Cost Found (Tracked by Callback): 0.022162480198974044

0.983269 (Num: 0.002161 / Denom: 0.129170)
0.989580 (Num: 0.002603 / Denom: 0.249806)
0.932343 (Num: 0.011819 / Denom: 0.174695)
1.003623 (Num: -0.000775 / Denom: 0.213849)
0.965844 (Num: 0.006107 / Denom: 0.178804)
0.997886 (Num: 0.000877 / Denom: 0.414765)
0.910795 (Num: 0.014445 / Denom: 0.161927)
0.998306 (Num: 0.000471 / Denom: 0.277792)
0.808121 (Num: 0.046681 / Denom: 0.243282)
0.873007 (Num: 0.032851 / Denom: 0.258681)
0.922180 (Num: 0.018371 / Denom: 0.236063)
0.980232 (Num: 0.004788 / Denom: 0.242205)
0.977943 (Num: 0.005837 / Denom: 0.264623)
0.818848 (Num: 0.041962 / Denom: 0.231640)
0.982016 (Num: 0.004771 / Denom: 0.265293)
1.020710 (Num: -0.002834 / Denom: 0.136862)
0.996289 (Num: 0.000776 / Denom: 0.209152)
0.967975 (Num: 0.008587 / Denom: 0.268146)
0.973701 (Num: 0.003544 / Denom: 0.134747)
1.003116 (Num: -0.000879 / Denom: 0.281934)
0.964340 (Num: 0.012675 / Denom: 0.355446)
0.986987 (Num: 0.001485 / Denom: 0.114110)
0.979301 (Num: 0.007856 / Denom: 0.379540)
0.837668 (Num: 0.022276 / Denom: 0.137226)
0.863023 (Num: 0.022690 / Denom: 0.165650)
0.983037 (Num: 0.005001 / Denom: 0.294815)
0.890650 (Num: 0.029333 / Denom: 0.268245)
0.981350 (Num: 0.004703 / Denom: 0.252191)
0.894116 (Num: 0.027406 / Denom: 0.258834)
0.958019 (Num: 0.012390 / Denom: 0.295125)
0.997093 (Num: 0.000614 / Denom: 0.211156)
0.914305 (Num: 0.014795 / Denom: 0.172650)
0.974074 (Num: 0.003290 / Denom: 0.126909)
0.919810 (Num: 0.022071 / Denom: 0.275236)
0.904360 (Num: 0.016846 / Denom: 0.176135)
0.996330 (Num: 0.001524 / Denom: 0.415233)
0.987057 (Num: 0.005765 / Denom: 0.445439)
0.990240 (Num: 0.001354 / Denom: 0.138738)
0.998773 (Num: 0.000171 / Denom: 0.139732)
0.991033 (Num: 0.004202 / Denom: 0.468645)
0.961888 (Num: 0.007690 / Denom: 0.201772)
1.013567 (Num: -0.002648 / Denom: 0.195198)
0.962939 (Num: 0.003135 / Denom: 0.084580)
0.996235 (Num: 0.001725 / Denom: 0.458306)
0.987831 (Num: 0.003356 / Denom: 0.275776)
0.888424 (Num: 0.021654 / Denom: 0.194078)
0.987507 (Num: 0.004454 / Denom: 0.356526)
0.983824 (Num: 0.001876 / Denom: 0.115960)
0.886523 (Num: 0.020637 / Denom: 0.181862)
0.990568 (Num: 0.002120 / Denom: 0.224793)
0.989400 (Num: 0.002166 / Denom: 0.204364)
0.991386 (Num: 0.001760 / Denom: 0.204352)
0.995510 (Num: 0.000896 / Denom: 0.199638)
0.986916 (Num: 0.002628 / Denom: 0.200870)
0.988672 (Num: 0.002280 / Denom: 0.201244)
0.984499 (Num: 0.003135 / Denom: 0.202283)
0.992042 (Num: 0.001599 / Denom: 0.200891)
0.990903 (Num: 0.001866 / Denom: 0.205180)
0.996079 (Num: 0.000797 / Denom: 0.203190)
0.993353 (Num: 0.001341 / Denom: 0.201688)
0.994918 (Num: 0.001021 / Denom: 0.200951)
0.982737 (Num: 0.003525 / Denom: 0.204215)
1.004495 (Num: -0.000903 / Denom: 0.200906)
1.000539 (Num: -0.000109 / Denom: 0.201957)
1.000239 (Num: -0.000049 / Denom: 0.203500)
0.983011 (Num: 0.003440 / Denom: 0.202497)
0.988622 (Num: 0.002309 / Denom: 0.202960)
0.995265 (Num: 0.000974 / Denom: 0.205768)
0.989103 (Num: 0.002206 / Denom: 0.202470)
0.994752 (Num: 0.001070 / Denom: 0.203949)
0.988717 (Num: 0.002319 / Denom: 0.205571)
0.985821 (Num: 0.002914 / Denom: 0.205523)
0.989595 (Num: 0.002122 / Denom: 0.203973)
0.992129 (Num: 0.001606 / Denom: 0.204062)
0.984865 (Num: 0.003054 / Denom: 0.201772)
0.982925 (Num: 0.003454 / Denom: 0.202283)
0.794088 (Num: 0.028305 / Denom: 0.137459)
0.983944 (Num: 0.005737 / Denom: 0.357299)
0.656914 (Num: 0.195979 / Denom: 0.571226)
0.733946 (Num: 0.099641 / Denom: 0.374512)
0.668302 (Num: 0.255212 / Denom: 0.769410)
0.678182 (Num: 0.266363 / Denom: 0.827682)
0.594823 (Num: 0.236357 / Denom: 0.583341)
0.691846 (Num: 0.187990 / Denom: 0.610053)
0.538685 (Num: 0.285461 / Denom: 0.618798)
0.573749 (Num: 0.219100 / Denom: 0.514017)
0.581904 (Num: 0.290352 / Denom: 0.694463)
0.537864 (Num: 0.280698 / Denom: 0.607394)
0.578980 (Num: 0.261202 / Denom: 0.620402)
0.522110 (Num: 0.252615 / Denom: 0.528604)
0.520341 (Num: 0.262417 / Denom: 0.547091)
0.451153 (Num: 0.280220 / Denom: 0.510561)
0.619122 (Num: 0.208547 / Denom: 0.547542)
0.437540 (Num: 0.272240 / Denom: 0.484017)
