Shots: 50000
learning_rate, perturbation = SPSA.calibrate(
        loss=lambda x: calculate_cost_function_sampling(x, shots, coefficient_set_2, gate_set_2, cost_history_cal),
        initial_point=x0,
        # target_magnitude=0.2,     # recommended for 1024 shots
        # c=0.15
    )
0.871994 (Num: 0.028327 / Denom: 0.221294)
0.644142 (Num: 0.146570 / Denom: 0.411878)
0.692638 (Num: 0.139450 / Denom: 0.453700)
0.824900 (Num: 0.037945 / Denom: 0.216702)
0.742738 (Num: 0.139096 / Denom: 0.540676)
0.812425 (Num: 0.035641 / Denom: 0.190010)
0.741149 (Num: 0.062612 / Denom: 0.241883)
0.749769 (Num: 0.086762 / Denom: 0.346730)
0.898385 (Num: 0.029497 / Denom: 0.290284)
0.655838 (Num: 0.132712 / Denom: 0.385610)
0.728720 (Num: 0.117390 / Denom: 0.432726)
0.897540 (Num: 0.029949 / Denom: 0.292298)
0.632393 (Num: 0.112684 / Denom: 0.306534)
0.834648 (Num: 0.048250 / Denom: 0.291803)
0.896662 (Num: 0.027000 / Denom: 0.261275)
0.565145 (Num: 0.162849 / Denom: 0.374490)
0.830213 (Num: 0.049818 / Denom: 0.293414)
0.688761 (Num: 0.081208 / Denom: 0.260918)
0.850105 (Num: 0.038235 / Denom: 0.255078)
0.645857 (Num: 0.126483 / Denom: 0.357153)
0.737509 (Num: 0.087308 / Denom: 0.332613)
0.826423 (Num: 0.041757 / Denom: 0.240570)
0.878376 (Num: 0.019562 / Denom: 0.160840)
0.760861 (Num: 0.121871 / Denom: 0.509625)
0.645046 (Num: 0.104589 / Denom: 0.294654)
0.834556 (Num: 0.051960 / Denom: 0.314063)
0.881814 (Num: 0.030425 / Denom: 0.257430)
0.567274 (Num: 0.156017 / Denom: 0.360544)
0.795412 (Num: 0.048415 / Denom: 0.236649)
0.679926 (Num: 0.107038 / Denom: 0.334415)
0.841583 (Num: 0.032211 / Denom: 0.203330)
0.673547 (Num: 0.110953 / Denom: 0.339875)
0.683827 (Num: 0.079591 / Denom: 0.251733)
0.808466 (Num: 0.062225 / Denom: 0.324878)
0.788035 (Num: 0.039269 / Denom: 0.185260)
0.788611 (Num: 0.103298 / Denom: 0.488666)
0.714146 (Num: 0.100787 / Denom: 0.352581)
0.794424 (Num: 0.040233 / Denom: 0.195710)
0.621363 (Num: 0.139079 / Denom: 0.367314)
0.860391 (Num: 0.024904 / Denom: 0.178384)
0.772546 (Num: 0.083073 / Denom: 0.365231)
0.681813 (Num: 0.060620 / Denom: 0.190516)
0.691084 (Num: 0.077216 / Denom: 0.249957)
0.841642 (Num: 0.065381 / Denom: 0.412866)
0.826493 (Num: 0.042578 / Denom: 0.245394)
0.727840 (Num: 0.091608 / Denom: 0.336597)
0.739076 (Num: 0.057418 / Denom: 0.220055)
0.804988 (Num: 0.059888 / Denom: 0.307101)
0.764657 (Num: 0.042278 / Denom: 0.179644)
0.723836 (Num: 0.141946 / Denom: 0.513990)
0.741695 (Num: 0.073771 / Denom: 0.285594)
0.724951 (Num: 0.077343 / Denom: 0.281195)
0.733070 (Num: 0.075467 / Denom: 0.282722)
0.734901 (Num: 0.075678 / Denom: 0.285472)
0.738269 (Num: 0.075470 / Denom: 0.288347)
0.728334 (Num: 0.077672 / Denom: 0.285909)
0.737930 (Num: 0.074776 / Denom: 0.285330)
0.724720 (Num: 0.078283 / Denom: 0.284378)
0.740822 (Num: 0.074025 / Denom: 0.285616)
0.743640 (Num: 0.073638 / Denom: 0.287243)
0.738257 (Num: 0.075309 / Denom: 0.287721)
0.733399 (Num: 0.075608 / Denom: 0.283600)
0.731551 (Num: 0.076221 / Denom: 0.283931)
0.728452 (Num: 0.077562 / Denom: 0.285628)
0.728352 (Num: 0.077182 / Denom: 0.284126)
0.726103 (Num: 0.077845 / Denom: 0.284212)
0.729750 (Num: 0.077016 / Denom: 0.284980)
0.744305 (Num: 0.073092 / Denom: 0.285856)
0.739807 (Num: 0.074006 / Denom: 0.284426)
0.734533 (Num: 0.076104 / Denom: 0.286682)
0.731387 (Num: 0.077246 / Denom: 0.287574)
0.727436 (Num: 0.077223 / Denom: 0.283319)
0.725038 (Num: 0.078310 / Denom: 0.284805)
0.729853 (Num: 0.076477 / Denom: 0.283094)
0.735351 (Num: 0.074978 / Denom: 0.283312)
0.726344 (Num: 0.078612 / Denom: 0.287265)
0.855419 (Num: 0.051726 / Denom: 0.357765)
0.672850 (Num: 0.071932 / Denom: 0.219875)
0.938783 (Num: 0.013101 / Denom: 0.214017)
0.625122 (Num: 0.136439 / Denom: 0.363957)
0.851764 (Num: 0.038865 / Denom: 0.262182)
0.541796 (Num: 0.216419 / Denom: 0.472322)
0.567172 (Num: 0.260001 / Denom: 0.600702)
0.588136 (Num: 0.153190 / Denom: 0.371942)
0.533863 (Num: 0.236251 / Denom: 0.506826)
0.618512 (Num: 0.151131 / Denom: 0.396162)
0.523360 (Num: 0.318158 / Denom: 0.667502)
0.527058 (Num: 0.330293 / Denom: 0.698380)
0.571441 (Num: 0.443904 / Denom: 1.035808)
0.541974 (Num: 0.199222 / Denom: 0.434958)
0.517922 (Num: 0.287577 / Denom: 0.596536)
0.632623 (Num: 0.214234 / Denom: 0.583144)
0.429693 (Num: 0.287794 / Denom: 0.504630)
0.417374 (Num: 0.279660 / Denom: 0.479999)
0.527486 (Num: 0.272316 / Denom: 0.576314)
0.369338 (Num: 0.276631 / Denom: 0.438635)
0.375559 (Num: 0.273503 / Denom: 0.437997)
0.377443 (Num: 0.275599 / Denom: 0.442689)
0.436573 (Num: 0.265439 / Denom: 0.471114)
0.366903 (Num: 0.277614 / Denom: 0.438501)
0.346019 (Num: 0.323014 / Denom: 0.493919)
0.481315 (Num: 0.182367 / Denom: 0.351594)
0.341143 (Num: 0.324271 / Denom: 0.492172)
0.372424 (Num: 0.349009 / Denom: 0.556122)
0.366828 (Num: 0.274869 / Denom: 0.434114)
0.353880 (Num: 0.317117 / Denom: 0.490802)
0.408310 (Num: 0.331223 / Denom: 0.559792)
0.389094 (Num: 0.257708 / Denom: 0.421845)
0.338778 (Num: 0.314504 / Denom: 0.475641)
0.427348 (Num: 0.277776 / Denom: 0.485070)
0.418014 (Num: 0.303763 / Denom: 0.521942)
0.348025 (Num: 0.313822 / Denom: 0.481341)
0.388928 (Num: 0.299522 / Denom: 0.490158)
0.342821 (Num: 0.304004 / Denom: 0.462590)
0.345886 (Num: 0.312711 / Denom: 0.478067)
0.350838 (Num: 0.330542 / Denom: 0.509183)
0.342733 (Num: 0.276709 / Denom: 0.421000)
0.340619 (Num: 0.311551 / Denom: 0.472490)
0.360778 (Num: 0.327669 / Denom: 0.512606)
0.366260 (Num: 0.270041 / Denom: 0.426107)
0.347554 (Num: 0.312740 / Denom: 0.479334)
0.368408 (Num: 0.302441 / Denom: 0.478854)
0.333375 (Num: 0.320128 / Denom: 0.480222)
0.337559 (Num: 0.315319 / Denom: 0.475996)
0.355375 (Num: 0.273760 / Denom: 0.424682)
0.344262 (Num: 0.333998 / Denom: 0.509346)
0.341073 (Num: 0.317325 / Denom: 0.481578)
0.366912 (Num: 0.290304 / Denom: 0.458553)
0.324646 (Num: 0.359197 / Denom: 0.531866)
0.323393 (Num: 0.331877 / Denom: 0.490502)
0.348572 (Num: 0.324368 / Denom: 0.497934)
0.386114 (Num: 0.302599 / Denom: 0.492923)
0.329213 (Num: 0.329212 / Denom: 0.490785)
0.345444 (Num: 0.272891 / Denom: 0.416910)
0.347588 (Num: 0.379946 / Denom: 0.582371)
0.321158 (Num: 0.330989 / Denom: 0.487578)
0.302601 (Num: 0.351030 / Denom: 0.503342)
0.411960 (Num: 0.247240 / Denom: 0.420448)
0.307016 (Num: 0.353189 / Denom: 0.509663)
0.360566 (Num: 0.281109 / Denom: 0.439622)
0.337946 (Num: 0.380293 / Denom: 0.574413)
0.317338 (Num: 0.355435 / Denom: 0.520660)
0.350084 (Num: 0.263977 / Denom: 0.406170)
0.353537 (Num: 0.399917 / Denom: 0.618623)
0.313320 (Num: 0.354338 / Denom: 0.516016)
0.346477 (Num: 0.271457 / Denom: 0.415374)
0.346345 (Num: 0.407110 / Denom: 0.622821)
0.312398 (Num: 0.356579 / Denom: 0.518584)
0.317970 (Num: 0.332977 / Denom: 0.488214)
0.341460 (Num: 0.336560 / Denom: 0.511070)
0.304058 (Num: 0.356098 / Denom: 0.511677)
0.331710 (Num: 0.354879 / Denom: 0.531026)
0.304989 (Num: 0.330914 / Denom: 0.476128)
0.311738 (Num: 0.351817 / Denom: 0.511168)
0.378247 (Num: 0.356237 / Denom: 0.572956)
0.315114 (Num: 0.301270 / Denom: 0.439883)
0.296568 (Num: 0.338823 / Denom: 0.481672)
0.277356 (Num: 0.328048 / Denom: 0.453954)
0.328375 (Num: 0.361112 / Denom: 0.537669)
0.296716 (Num: 0.335405 / Denom: 0.476913)
0.319581 (Num: 0.373421 / Denom: 0.548810)
0.314658 (Num: 0.292756 / Denom: 0.427168)
0.290685 (Num: 0.332376 / Denom: 0.468587)
0.304621 (Num: 0.303741 / Denom: 0.436799)
0.307613 (Num: 0.350278 / Denom: 0.505900)
0.295979 (Num: 0.329797 / Denom: 0.468448)
0.286567 (Num: 0.307610 / Denom: 0.431169)
0.299897 (Num: 0.365942 / Denom: 0.522698)
0.296377 (Num: 0.328186 / Denom: 0.466422)
0.325505 (Num: 0.323984 / Denom: 0.480335)
0.294820 (Num: 0.303409 / Denom: 0.430257)
0.292438 (Num: 0.327027 / Denom: 0.462189)
0.392400 (Num: 0.252924 / Denom: 0.416267)
0.308651 (Num: 0.377071 / Denom: 0.545414)
0.295553 (Num: 0.349790 / Denom: 0.496545)
0.295659 (Num: 0.320570 / Denom: 0.455135)
0.401293 (Num: 0.324659 / Denom: 0.542267)
0.288004 (Num: 0.343459 / Denom: 0.482390)
0.351412 (Num: 0.333742 / Denom: 0.514566)
0.313278 (Num: 0.314084 / Denom: 0.457367)
0.283311 (Num: 0.338927 / Denom: 0.472907)
0.287384 (Num: 0.318837 / Denom: 0.447417)
0.318703 (Num: 0.328234 / Denom: 0.481778)
0.266422 (Num: 0.342897 / Denom: 0.467430)
0.309781 (Num: 0.308254 / Denom: 0.446603)
0.333526 (Num: 0.314050 / Denom: 0.471210)
0.273753 (Num: 0.340362 / Denom: 0.468659)
0.305389 (Num: 0.251150 / Denom: 0.361569)
0.324185 (Num: 0.368813 / Denom: 0.545730)
0.265926 (Num: 0.334055 / Denom: 0.455070)
0.300169 (Num: 0.310024 / Denom: 0.442998)
0.290925 (Num: 0.341186 / Denom: 0.481170)
0.277183 (Num: 0.330176 / Denom: 0.456791)
0.309300 (Num: 0.314370 / Denom: 0.455147)
0.335548 (Num: 0.318626 / Denom: 0.479531)
0.277662 (Num: 0.331482 / Denom: 0.458901)
0.261637 (Num: 0.331678 / Denom: 0.449207)
0.298189 (Num: 0.308942 / Denom: 0.440207)
0.263907 (Num: 0.334716 / Denom: 0.454720)
0.316523 (Num: 0.286118 / Denom: 0.418622)
0.286872 (Num: 0.373488 / Denom: 0.523732)
0.265511 (Num: 0.341204 / Denom: 0.464546)
0.312578 (Num: 0.309984 / Denom: 0.450938)
0.284888 (Num: 0.347684 / Denom: 0.486196)
0.266008 (Num: 0.341440 / Denom: 0.465182)
0.333164 (Num: 0.264281 / Denom: 0.396321)
0.307241 (Num: 0.384629 / Denom: 0.555213)
0.257223 (Num: 0.353801 / Denom: 0.476322)
0.297863 (Num: 0.375938 / Denom: 0.535420)
0.277152 (Num: 0.313130 / Denom: 0.433190)
0.263591 (Num: 0.349597 / Denom: 0.474731)
0.283700 (Num: 0.346906 / Denom: 0.484302)
0.297685 (Num: 0.329200 / Denom: 0.468736)
0.264389 (Num: 0.348404 / Denom: 0.473625)
0.287752 (Num: 0.346483 / Denom: 0.486465)
0.261997 (Num: 0.321759 / Denom: 0.435986)
0.260339 (Num: 0.345877 / Denom: 0.467615)
0.273594 (Num: 0.323226 / Denom: 0.444966)
0.268207 (Num: 0.349307 / Denom: 0.477330)
0.251585 (Num: 0.352210 / Denom: 0.470608)
0.323493 (Num: 0.342633 / Denom: 0.506474)
0.313872 (Num: 0.306825 / Denom: 0.447184)
0.262566 (Num: 0.344866 / Denom: 0.467656)
0.273064 (Num: 0.364304 / Denom: 0.501150)
0.296468 (Num: 0.323752 / Denom: 0.460180)
0.266632 (Num: 0.348220 / Denom: 0.474822)
0.299017 (Num: 0.347115 / Denom: 0.495184)
0.262684 (Num: 0.318561 / Denom: 0.432054)
0.262256 (Num: 0.346294 / Denom: 0.469396)
0.245764 (Num: 0.318109 / Denom: 0.421763)
0.295626 (Num: 0.352162 / Denom: 0.499965)
0.256531 (Num: 0.340822 / Denom: 0.458421)
0.283448 (Num: 0.345023 / Denom: 0.481504)
0.262549 (Num: 0.305543 / Denom: 0.414323)
0.243664 (Num: 0.343533 / Denom: 0.454206)
0.266709 (Num: 0.319819 / Denom: 0.436142)
0.298091 (Num: 0.329586 / Denom: 0.469557)
0.254693 (Num: 0.337159 / Denom: 0.452375)
0.336147 (Num: 0.256022 / Denom: 0.385660)
0.326611 (Num: 0.404946 / Denom: 0.601355)
0.254421 (Num: 0.341026 / Denom: 0.457398)
0.246196 (Num: 0.359061 / Denom: 0.476332)
0.265842 (Num: 0.333752 / Denom: 0.454605)
0.253508 (Num: 0.341487 / Denom: 0.457456)
0.275291 (Num: 0.332404 / Denom: 0.458673)
0.245741 (Num: 0.323361 / Denom: 0.428714)
0.246731 (Num: 0.342760 / Denom: 0.455030)
0.266413 (Num: 0.306421 / Denom: 0.417702)
0.273606 (Num: 0.330984 / Denom: 0.455654)
0.247773 (Num: 0.341594 / Denom: 0.454110)
0.241913 (Num: 0.321489 / Denom: 0.424079)
0.263096 (Num: 0.339429 / Denom: 0.460614)
0.252793 (Num: 0.340010 / Denom: 0.455042)
0.255547 (Num: 0.322266 / Denom: 0.432890)
0.278696 (Num: 0.332369 / Denom: 0.460790)
0.245714 (Num: 0.338720 / Denom: 0.449061)
0.279142 (Num: 0.278399 / Denom: 0.386205)
0.270725 (Num: 0.399365 / Denom: 0.547619)
0.247891 (Num: 0.341907 / Denom: 0.454598)
0.247793 (Num: 0.303988 / Denom: 0.404128)
0.276558 (Num: 0.372013 / Denom: 0.514226)
0.246486 (Num: 0.337074 / Denom: 0.447335)
0.272021 (Num: 0.340313 / Denom: 0.467476)
0.263065 (Num: 0.326427 / Denom: 0.442953)
0.237493 (Num: 0.341292 / Denom: 0.447592)
0.270941 (Num: 0.297261 / Denom: 0.407733)
0.246536 (Num: 0.360702 / Denom: 0.478725)
0.246656 (Num: 0.340467 / Denom: 0.451941)
0.239768 (Num: 0.302168 / Denom: 0.397468)
0.272687 (Num: 0.377548 / Denom: 0.519100)
0.247789 (Num: 0.331020 / Denom: 0.440063)
0.275044 (Num: 0.278591 / Denom: 0.384287)
0.265182 (Num: 0.374407 / Denom: 0.509524)
0.239437 (Num: 0.338989 / Denom: 0.445708)
0.267887 (Num: 0.326722 / Denom: 0.446272)
0.316050 (Num: 0.306523 / Denom: 0.448166)
0.231740 (Num: 0.339921 / Denom: 0.442456)
0.240410 (Num: 0.294590 / Denom: 0.387827)
0.269746 (Num: 0.377219 / Denom: 0.516558)
0.239514 (Num: 0.332698 / Denom: 0.437481)
0.275633 (Num: 0.293643 / Denom: 0.405378)
0.281783 (Num: 0.331631 / Denom: 0.461742)
0.231097 (Num: 0.336111 / Denom: 0.437130)
0.273354 (Num: 0.355667 / Denom: 0.489465)
0.294938 (Num: 0.290052 / Denom: 0.411386)
0.240753 (Num: 0.335835 / Denom: 0.442326)
0.251342 (Num: 0.323459 / Denom: 0.432052)
0.236296 (Num: 0.336434 / Denom: 0.440529)
0.235514 (Num: 0.337037 / Denom: 0.440867)
0.253494 (Num: 0.320852 / Denom: 0.429806)
0.277999 (Num: 0.317096 / Denom: 0.439190)
0.229133 (Num: 0.338142 / Denom: 0.438652)
0.277907 (Num: 0.325740 / Denom: 0.451106)
0.242726 (Num: 0.329085 / Denom: 0.434565)
0.233012 (Num: 0.338329 / Denom: 0.441114)
0.288145 (Num: 0.294928 / Denom: 0.414309)
